Query,Sentiment_Level
Abuja North Central Airtel 4G Very good to use. Reliable and smooth,4
Oyo South West MTN 3G not too good ,3
Abia South East Airtel 2G Not good at all. Should be discarded with immediate effect,2
Abia South East Globacom 4G Sweet performance that I like.,5
Oyo South West MTN 3G I experience a lot of Network Fluctuations in my area and it's so bad I stopped using it for data anymore. ,3
Adamawa North East 9mobile 2G Very bad network,0
Adamawa North East Airtel 3G Its not good for most operations especially browsing.,2
"Ondo South West 9mobile 3G For calls and texts, 9mobile is not too bad. There are tines when I'm unable to use my sim for several days though. For internet browsing however, the quality of service is almost nothing to write home about. ",2
Adamawa North East MTN 3G Very faulty and fluctuates. Cannot be relied upon,2
Ondo South West MTN 4G I guess they are tired of been network provider,1
Osun South West MTN 4G The browsing network has been very frustrating for the past few weeks. Calls and messages have been going freely.,3
Ogun South West Others 3G ...,2
"Ondo South West MTN 4G Not really enjoying the value of what I invest in my network, network failure at some point, and slow network at another point, sometimes it is okay, but never at the best",3
Lagos South West Globacom 4G The network needs to do more in customer relation. Imagine not having network for a while and the company is acting like nothing happened ,4
Abuja North Central Airtel 2G Bad quality over here.,1
Abuja North Central Airtel 3G Still needs more work before it can be relaible.,3
Adamawa North East MTN 2G This particular traffic type is not good to use. Should not even be in existence over here.,1
Oyo South West MTN 4G Fair ,4
Lagos South West MTN 3G Mtn network is usually bad most of the time,2
Delta South South MTN 4G Fast and reliable,4
Ondo South West MTN 4G I feel it's my device though but MTN is fair here,3
Ogun South West MTN 4G It’s actually okay no cap,5
Abia South East 9mobile 2G This is the poorest network service using provider that I've ever used. TRASH,0
Delta South South MTN 4G Very Strong network,5
Ogun South West Globacom 3G The network is sometimes frustrating ,2
Oyo South West MTN 4G In all network mtn is the best,0
"Lagos South West MTN 4G MTN data is too expensive, the volume of data isn't worth, the amount we pay for.
That's my view",3
Abuja North Central MTN 2G Satisfactory. 2G is bad generally so I think a phone or sim upgrade is required.,3
"Abuja North Central 9mobile 2G I would give this network a 0 today, tomorrow and forever. I hate it.",0
Lagos South West Globacom 4G Can be better ,2
Enugu South East MTN 4G Excellent network coverage from MTN's. very fast and affordable,5
Ondo South West MTN 4G I guess they are tired of been network provider,1
Adamawa North East Globacom 2G Very poor. Do not use!!,0
Delta South South MTN 4G It's a good experience simple and easy to understand ,3
Abuja North Central Globacom 2G Very poor and annoying network service performance.,1
"Other Other MTN 4G Mtn sim sometimes lacks services and network here, especially in the midnight.",3
"Lagos South West MTN 4G The Sim service (network operator) has nice and reliable network standby, along with an impressive data roaming speed and others. ",3
Ondo South West 9mobile 4G The Internet access provided by this provider is worse ,1
Adamawa North East Globacom 2G Very poor. Do not use!!,0
Ondo South West MTN 3G It is good expect for data that finish quickly,4
Oyo South West MTN 4G In all network mtn is the best,0
Ondo South West 9mobile 4G The service is quite terrible generally in this area compare to other network ,0
Abuja North Central MTN 4G Awesome and fast.. I am in love with MTN,5
Osun South West MTN 3G It is manageable and works for more.,4
Akwa-Ibom South South 9mobile 3G 9mobile is the wrost sim... ,1
Other Other MTN 2G MTN,1
Ogun South West MTN 4G The network is very poor even with the 4g,1
Ogun South West Globacom 3G Very weak and unsatisfactory. I dont like it at all,3
Ondo South West MTN 4G It's been on an average. ,2
Other South South 9mobile 4G Using Etisalat network in my current location has been really frustrating especially when it comes to browsing,2
Abuja North Central Airtel 2G Bad quality over here.,1
Osun South West MTN 4G The browsing network has been very frustrating for the past few weeks. Calls and messages have been going freely.,3
Oyo South West MTN 4G The quality of service is good but once in a while it does fluctuate especially whenever it’s rainy.,4
Ogun South West Globacom 3G Glo is very bad here. I won't even recommend it to the devil,2
Ogun South West Others 3G ...,2
Ogun South West Globacom 3G The network is sometimes frustrating ,2
Ogun South West Globacom 3G Glo is very bad here. I won't even recommend it to the devil,2
Lagos South West Airtel 4G It sometimes goes off while using the internet. But it is okay.,4
"Ondo South West MTN 3G MTN is not that okay here.
Especially inside FUTA. It's worst.",2
"Lagos South West 9mobile 3G I use 9mobile sim.
I don't use it for internet cos the network is always poor.",3
Delta South South Globacom 4G Straight forward ,3
Abuja North Central Airtel 4G Very good to use. Reliable and smooth,4
Adamawa North East MTN 2G This particular traffic type is not good to use. Should not even be in existence over here.,1
Adamawa North East Globacom 2G Very poor. Do not use!!,0
Lagos South West Airtel 3G Very poor network,3
Ondo South West 9mobile 4G The Internet access provided by this provider is worse ,1
Abuja North Central MTN 4G MTN is just okay . It has served me adequately for about a decade now. They could improve in some areas however.,3
Lagos South West MTN 4G It not very good ,3
Delta South South MTN 4G It's a nice networking service but till need some improvement ,3
Lagos South West MTN 4G I think one of the major challenges is the high cost of data and consumption rate. It will be important if this can be addressed ,4
Ondo South West Globacom 3G Calling and texting is manageable but I just so hate The browsing aspects. Very slow and annoying.,2
Delta South South Globacom 4G The internet connection is poor,2
Other Other MTN 2G MTN,1
Adamawa North East 9mobile 3G Not satisfactory. Should be ditched,2
Abia South East 9mobile 3G I hate 9 mobile for real. Very bad quality of service.,1
Akwa-Ibom South South 9mobile 3G 9mobile is the wrost sim... ,1
Other South East Globacom 4G Really a below average performance from Glo. I don't like it here at all.,3
"Oyo South West MTN 4G The quality of my MTN sum is very good and reliable but when the weather is bad, the connectivity is not so good especially when I browse the internet. ",5
Adamawa North East 9mobile 2G Very bad network,0
Ogun South West Globacom 3G The network is sometimes frustrating ,2
Abia South East MTN Other I am so in love with my service..very fast and sweet to use.,5
Other Other MTN 2G MTN,1
Other Other MTN 2G MTN,1
Abia South East MTN Other I am so in love with my service..very fast and sweet to use.,5
"Abuja North Central 9mobile 2G I would give this network a 0 today, tomorrow and forever. I hate it.",0
Oyo South West MTN 4G In all network mtn is the best,0
"Abuja North Central Globacom 3G We can call and text okay but I think browsing strength needs more work. All the same, this is okay on an average scale",4
"Abuja North Central 9mobile 2G I would give this network a 0 today, tomorrow and forever. I hate it.",0
Adamawa North East Airtel 2G Does not deserve to be used. I would always hate it,0
"Osun South West MTN 4G The network is really poor, the only time I actually enjoy browsing is around 1am and it goes back to being rubbish at 6am.",2
Adamawa North East Airtel 2G Does not deserve to be used. I would always hate it,0
